Date,Active Device Installs,Notes
2019-10-24,82,
2019-10-25,85,
2019-10-26,86,
2019-10-27,83,
2019-10-28,84,
2019-10-29,83,
2019-10-30,88,
2019-10-31,87,
2019-11-01,85,
2019-11-02,88,
2019-11-03,86,
2019-11-04,85,
2019-11-05,85,
2019-11-06,89,
2019-11-07,85,
2019-11-08,82,
2019-11-09,83,
2019-11-10,85,
2019-11-11,83,
2019-11-12,83,
2019-11-13,84,
2019-11-14,84,
2019-11-15,86,
2019-11-16,87,
2019-11-17,90,
2019-11-18,94,
2019-11-19,89,
2019-11-20,91,
2019-11-21,91,
2019-11-22,93,
2019-11-23,94,
2019-11-24,98,
2019-11-25,95,
2019-11-26,95,
2019-11-27,99,
2019-11-28,101,
2019-11-29,95,
2019-11-30,91,
2019-12-01,96,
2019-12-02,94,
2019-12-03,91,
2019-12-04,98,
2019-12-05,97,
2019-12-06,94,
2019-12-07,93,
2019-12-08,91,
2019-12-09,93,
2019-12-10,97,
2019-12-11,100,
2019-12-12,91,
2019-12-13,96,
2019-12-14,94,
2019-12-15,92,
2019-12-16,92,
2019-12-17,96,
2019-12-18,99,
2019-12-19,97,
2019-12-20,96,
2019-12-21,100,
2019-12-22,99,
2019-12-23,93,
2019-12-24,97,
2019-12-25,97,
2019-12-26,96,
2019-12-27,100,
2019-12-28,98,
2019-12-29,102,
2019-12-30,101,
2019-12-31,98,
2020-01-01,102,
2020-01-02,109,
2020-01-03,106,
2020-01-04,105,
2020-01-05,106,
2020-01-06,103,
2020-01-07,104,
2020-01-08,103,
2020-01-09,107,
2020-01-10,108,
2020-01-11,107,
2020-01-12,103,
2020-01-13,110,
2020-01-14,107,
2020-01-15,111,
2020-01-16,112,
2020-01-17,112,
2020-01-18,113,
2020-01-19,119,
2020-01-20,119,
2020-01-21,119,
2020-01-22,122,
2020-01-23,120,
2020-01-24,127,
2020-01-25,128,
2020-01-26,129,
2020-01-27,129,
2020-01-28,138,
2020-01-29,135,
2020-01-30,134,
2020-01-31,131,
2020-02-01,135,
2020-02-02,133,
2020-02-03,131,
2020-02-04,132,
2020-02-05,131,
2020-02-06,133,
2020-02-07,136,
2020-02-08,137,
2020-02-09,138,
2020-02-10,142,
2020-02-11,135,
2020-02-12,137,
2020-02-13,141,
2020-02-14,135,
2020-02-15,136,
2020-02-16,134,
2020-02-17,132,
2020-02-18,130,
2020-02-19,129,
2020-02-20,128,
2020-02-21,129,
2020-02-22,128,
2020-02-23,132,
2020-02-24,137,
2020-02-25,138,
2020-02-26,139,
