timestamp,downloads,stars
2018-01-25T00:00:01.565287+00:00,1801,786
2018-01-26T00:00:02.075406+00:00,1829,788
2018-01-27T00:00:01.535302+00:00,1841,790
2018-01-28T00:00:01.741428+00:00,1850,791
2018-01-29T00:00:02.493565+00:00,1854,791
2018-01-30T00:00:02.208719+00:00,1872,793
2018-01-31T00:00:01.347054+00:00,1899,796
2018-02-01T00:00:01.757454+00:00,1929,796
2018-02-02T00:00:02.183334+00:00,1943,799
2018-02-03T00:00:01.579830+00:00,1952,800
2018-02-04T00:00:01.824352+00:00,1976,802
2018-02-05T00:00:02.125726+00:00,1989,803
2018-02-06T00:00:01.427935+00:00,2010,806
2018-02-07T00:00:02.147467+00:00,2029,809
2018-02-08T00:00:01.690589+00:00,2054,812
2018-02-09T00:00:01.934102+00:00,2076,813
2018-02-10T00:00:02.208516+00:00,2090,816
2018-02-11T00:00:01.399557+00:00,2104,817
2018-02-12T00:00:02.745924+00:00,2111,818
2018-02-13T00:00:02.133693+00:00,2128,820
2018-02-14T00:00:01.448785+00:00,2144,820
2018-02-15T00:00:01.860667+00:00,2165,820
2018-02-16T00:00:02.073921+00:00,2180,822
2018-02-17T00:00:01.274477+00:00,2192,822
2018-02-18T00:00:01.556151+00:00,2200,826
2018-02-19T00:00:01.797565+00:00,2215,828
2018-02-20T00:00:02.025423+00:00,2231,828
2018-02-21T00:00:01.209516+00:00,2246,830
2018-02-22T00:00:01.479388+00:00,2279,831
2018-02-23T00:00:01.694684+00:00,2308,833
2018-02-24T00:00:02.080629+00:00,2326,834
2018-02-25T00:00:01.392169+00:00,2338,834
2018-02-26T00:00:01.579373+00:00,2355,836
2018-02-27T00:00:02.419266+00:00,2383,842
2018-02-28T00:00:01.582682+00:00,2403,844
2018-03-01T00:00:01.866887+00:00,2421,845
2018-03-02T00:00:02.175035+00:00,2448,847
2018-03-03T00:00:01.386849+00:00,2464,850
2018-03-04T00:00:01.696165+00:00,2483,850
2018-03-05T00:00:01.928342+00:00,2499,851
2018-03-06T00:00:02.236071+00:00,2525,851
2018-03-07T00:00:01.506056+00:00,2542,853
2018-03-08T00:00:02.828289+00:00,2564,855
2018-03-09T00:00:02.310992+00:00,2593,857
2018-03-10T00:00:01.898638+00:00,2615,858
2018-03-11T00:00:02.225162+00:00,2624,856
2018-03-12T00:00:01.565517+00:00,2634,856
2018-03-13T00:00:01.908379+00:00,2671,859
2018-03-14T00:00:02.427385+00:00,2697,859
2018-03-15T00:00:02.431129+00:00,2726,860
2018-03-16T00:00:01.758505+00:00,2744,860
2018-03-17T00:00:02.294358+00:00,2763,862
2018-03-18T00:00:01.509520+00:00,2774,864
2018-03-19T00:00:01.821827+00:00,2785,868
2018-03-20T00:00:02.130449+00:00,2814,874
2018-03-21T00:00:02.001890+00:00,2830,875
2018-03-22T00:00:01.286116+00:00,2840,874
2018-03-23T00:00:01.554542+00:00,2858,873
2018-03-24T00:00:02.025610+00:00,2874,876
2018-03-25T00:00:01.203553+00:00,2884,877
2018-03-26T00:00:01.382563+00:00,2901,877
2018-03-27T00:00:01.643277+00:00,2919,880
2018-03-28T00:00:01.894674+00:00,2939,882
2018-03-29T00:00:02.240383+00:00,2985,884
2018-03-30T00:00:01.523851+00:00,2992,885
2018-03-31T00:00:01.843810+00:00,3011,886
2018-04-01T00:00:02.107857+00:00,3025,886
2018-04-02T00:00:01.475440+00:00,3040,889
2018-04-03T00:00:02.027111+00:00,3050,887
2018-04-04T00:00:01.256854+00:00,3058,890
2018-04-05T00:00:01.502397+00:00,3081,890
2018-04-06T00:00:01.978075+00:00,3095,892
2018-04-07T00:00:01.146984+00:00,3113,892
2018-04-08T00:00:01.307943+00:00,3123,893
2018-04-09T00:00:01.740249+00:00,3140,893
2018-04-10T00:00:02.019526+00:00,3159,893
2018-04-11T00:00:01.235177+00:00,3243,893
2018-04-12T00:00:01.560463+00:00,3387,894
